,question,category,answer,choices/0,choices/1,choices/2,choices/3
0,In what fictional city is the TV show Futurama set?,video-games,New New York,New Chicago,New New York,New San Francisco,None of these
1,What is the lowest ranking species in the Covenant hierarchy in the Halo series?,video-games,Grunt,Drone,Brute,Elite,Grunt
2,Who controls the Flood in the Halo series?,video-games,Gravemind,Gravemind,The Prophet of Truth,The Arbiter,No one
3,What is a SPARTAN in the Halo series?,video-games,All of these,A Genetically modified super soldier,A higher ranking soldier than a ODST,Troopers that went through military training at the age of five,All of these
4,What species is the Didact in the Halo series?,video-games,Forerunner,Forerunner,Precursor,Promethean,Yamne
6,Which of the following does the UNSC use to transport troops in the halo series?,video-games,Pelicans,Falcons,Hornets,Phantoms,Pelicans
7,What does UNSC stand for in the Halo series?,video-games,United Nations Space Command,None of the above,United Nations Space Council,United Nations Space Command,Unified Nations Supreme Court
8,What is the largest UNSC ship in the Halo series?,video-games,UNSC Infinity,UNSC In Amber Clad,UNSC Infinity,UNSC Spirit of Fire,UNSC Pillar of Autumn
9,What city does Halo 3 ODST take place in?,video-games,New Mombasa,Voi,New Mombasa,Toronto,New York
10,What is the largest species of the Covenant in the Halo series?,video-games,Hunter,Brute,Hunter,Jackal,Elite
11,Who made the fictional Mother Brain and for what purpose?,video-games,The Chozo built her to be a organic Supercomputer.,The Galactic Federation built her as a next generation Aurora Unit.,It is unknown who made her but she was made to control Zebes.,The Space Pirates built her to be one of their generals.,The Chozo built her to be a organic Supercomputer.
12,How did the Alimbics become extinct in the Metroid series?,video-games,The entire species used up their life energy to imprison Gorea.,They discovered Phazon and developed Phazon Madness causing them to wipe each other out.,Gorea wiped them out.,The entire species used up their life energy to imprison Gorea.,The Metroids wiped them out.
13,What creature passes on the X Parasite to Samus in the Metroid series?,video-games,Hornoad,Metroid,Space Pirate,Kihunter,Hornoad
14,Who is the Deleter in the Metroid series?,video-games,James Pierce,Lyle Smithsonian,Adam Malkovich,K.G Misawa,James Pierce
16,What do Steamlords keep as pets in the Metroid series of games?,video-games,Vaporwing,Steambot,Warp Hound,Steamspider,Vaporwing
17,An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?,video-games,Worm,Worm,Beast,Destroyer,Consumer
19,What planet are Kihunters from in the Metroid games?,video-games,Unknown,Space Pirate Homeworld,Unknown,SR388,Zebes
20,What planet is Samus from  in the Metorid games?,video-games,K-2L,It is unknown,K-2L,Norion,Zebes
21,What is the name of the enemy faction in the first N.O.V.A?,video-games,Xenos,Xenos,Volterites,Judgers,The Dominion
23,On which planet does the first two missions in N.O.V.A 2 take place?,video-games,Aquarius,Sagittarius,Earth,New Ceres,Aquarius
24,Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?,video-games,MazRah,Prometheus,Yelena,MazRah,Rufus
26,Who is the leader of the Volterites in N.O.V.A?,video-games,The Overseer,MazRah,None of the above,Prometheus,The Overseer
27,Which Xeno is capable of teleporting in N.O.V.A?,video-games,Heavy Demon,Heavy Demon,Red Demon,Imp,Fiend
30,What is the name of the damsel you have to save in the classic arcade game Donkey Kong?,video-games,Pauline,Peach,Daisy,Pauline,Dixie Kong
31,"Which of these was a name that game character, Mario, was once called?",video-games,Jumpman,Koopa,Plumberio,Jumpman,Luigi
32,"Who or what turned Warios treasure into monsters in the game, Wario World?",video-games,The black jewel,Kemmy Koopa,Lemmy Koopa,The black jewel,Bowser
33,"In the Mario games, what animal is a paratroopa?",video-games,A turtle,A bird,A lizard,A turtle,A tiger
34,"When first created, Mario game character, Birdo, was what?",video-games,A boy,A dog,A boy,A girl,A bird
36,"In the Mario video games, Bowser is the king of what?",video-games,Koopas,Bowsers,The Jungle,Mushroom Kingdom,Koopas
37,Who is the last boss in video game Paper Mario 2?,video-games,Shadow Queen,Gloom Tail,Bowser,Shadow Queen,Cackletta
38,"Which movie is this Warcraft 3 quote from?
Bandit: -What we have here is a failure to communicate.",video-games,Cool Hand Luke,For a Fistful of Dollars,Dirty Sanchez,Cool Hand Luke,Metal Man
39,Where does the popular video game character Mario live?,video-games,The Mushroom Kingdom,The Koopa Kingdom,The Kingdom of Sarasaland,The Mushroom Kingdom,Yoshi Island
40,What is Marios nationality according to Nintendo video games?,video-games,Italian,Italian,American,Mexican,British
42,What was the first video game in which Mario appeared?,video-games,Donkey Kong,Mario,The Mario Bros.,Super Mario,Donkey Kong
43,Why does Mario wear a red cap in the Mario series of games?,video-games,The creators didnt have the technology to animate his hair.,The creators didnt have the technology to animate his hair.,He is bald.,He cant make his hair neat.,He likes his cap.
45,What does the Fire Flower do to Mario in the Mario video games?,video-games,Allows him to throw fire balls.,Allows him to breath fire.,Nothing,It makes him angry.,Allows him to throw fire balls.
46,What effect does the Super Mushroom have on Mario in the popular series of video games?,video-games,It makes him bigger.,It makes him bigger.,None,It makes him impervious to danger.,It makes him smaller.
48,What is Marios occupation in the Mario series of games?,video-games,plumber,engineer,doctor,plumber,electrician
49,What is the name of the land where most of the Legend of Zelda games take place?,video-games,Hyrule,Hylia,Hyrule,Sacred Realm,Termania
50,Which monster made its first appearance in the game The Legend of Zelda: Majoras Mask?,video-games,Chu-Chu,Chu-Chu,Armos,Keese,Octorok
51,Which one of the Legend of Zelda games does not feature the same Link as the others?,video-games,Wind Waker,Ocarina of Time,Links Awakening,Wind Waker,Majoras Mask
52,Which of the following is not an item that Link uses in the Legend of Zelda series of games?,video-games,A spear used for immobilizing enemies,A magical leaf used for flying,A spear used for immobilizing enemies,A jar that can suck stuff into it and shoot out gusts of wind,A candle for shooting fire at enemies
53,In the Legend of Zelda series of games Link has not worn a tunic in what colour?,video-games,yellow,yellow,blue,red,green
54,Which games were included in the 2003 Legend of Zelda Collectors edition that became available on the Nintendo GameCube?,video-games,"The Legend of Zelda, The Adventure of Link, Ocarina of Time, Majoras Mask","The Legenda of Zelda, The Adventure of Link, A Link to the Past, Ocarina of TIme","Orcale of Seasons, Orcale of Ages, Links Awakening, and Minish Cap","The Legend of Zelda, The Adventure of Link, Ocarina of Time, Majoras Mask","A Link to the Past, Majoras Mask, Ocarina of Time, Wind Waker"
55,"Which Final Fantasy 3 character is known for blitzes such as Bum Rush, Pummel, and Suplex?",video-games,Sabin,Edgar,Setzer,Locke,Sabin
56,What character from the Final Fantasy series used a weapon called the Buster Sword?,video-games,Cloud Strife,Sephiroth,Squall Leonhart,Cloud Strife,Seifer Almasy
57,What was the name of the summoned creatures that aided the characters in the Final Fantasy 8 game?,video-games,Guardian Forces,Materia,Summonings,Espers,Guardian Forces
58,Which character was the main villain in the American Final Fantasy 3 game?,video-games,Kefka,Sin,Kefka,Garland,Sephiroth
59,Which Final Fantasy game was released in North America on 7 September 1999?,video-games,Final Fantasy 8,Final Fantasy 10,Final Fantasy 9,Final Fantasy 8,Final Fantasy 7
60,Which one of these Final Fantasy characters didnt own an airship?,video-games,Rinoa Heartilly,Setzer Gabbiani,Daryl,Rinoa Heartilly,Cid Highwind
61,What year was the first Final Fantasy game released in Japan?,video-games,1987,1989,1988,1990,1987
62,"This character, who has appeared in nearly every Final Fantasy game, usually provides transportation to the main characters.",video-games,Cid,Edgar,Cid,Sabin,Squall
63,In this Final Fantasy spin-off every new recruit starts out as a Squire or a Chemist.,video-games,Final Fantasy Tactics,Final Fantasy Mystic Quest,Final Fantasy Tactics Advance,Kingdom Hearts,Final Fantasy Tactics
64,Final Fantasy X featured which mini-game?,video-games,Blitzball,Snowboarding,Blitzball,Triple Triad,Tetra Master
65,"Which video game is the following quote from?
Ive got muscles in places youve never even heard of.",video-games,Escape from Monkey Island,Escape from Monkey Island,Simon the Sorcerer 3D,Grim Fandango,Monkey Island 2: LeChucks Revenge
66,"Which video game are the following quotes from?

A: Come on, comrades! Up to the rooftop! Go!
B: Get that flag up! Berlin is ours!",video-games,Call of Duty,Medal of Honor,Call of Duty,Hidden and Dangerous 2,Battlefield 1942
67,What is the cheat for getting 50 000 simoleans in the computer game The Sims 2?,video-games,motherlode,kaching,all of these,motherlode,simoleons_$$$
68,What are the expansion packs available for The Sims 2 game?,video-games,"University, Night Life, Family Fun, Open for Business","Odd Jobs, Pets",All of these,"University, Night Life, Family Fun, Open for Business","Makin Magic, Holiday, Party"
70,"On the cover of the Sims 2 University expansion pack there is a picture of two Sims, one male and one female. What is the male Sim wearing?",video-games,toga,hippie outfit,toga,mascot costume,football equipment
75,"What is the name of the robot in The Sims 2, that fetches take-away food?",video-games,MunchieBot,HungryBot,MunchieBot,Bot,FoodBot
77,Which is not an actual die?,video-games,d18,d10,d100,d4,d18
78,This class has the ability to smite evil.,video-games,Paladin,Rogue,Paladin,Ranger,Sorcerer
79,"This race doesnt sleep, they meditate instead.",video-games,Elf,Dwarf,Elf,Human,Changeling
80,Which of these is not a feat?,video-games,Knowledge Arcana,Quick Draw,Knowledge Arcana,Forge Ring,Toughness
82,Which item costs the most according to the Players Handbook?,video-games,Full Plate Mail,Whetstone,Two-Bladed Sword,Full Plate Mail,Heavy Repeating Crossbow
83,"How far can a medium sized, unencumbered creature walk in one round?",video-games,30 feet,20 feet,50 feet,30 feet,10 feet
84,Which class casts arcane magic innately?,video-games,Sorcerer,Ranger,Cleric,Wizard,Sorcerer
85,This 9th level wizard spell is sought after by many characters as a reward.  Many wizards also strive to learn this spell.,video-games,Wish,Power Word Kill,Wish,Imprisonment,Gate
86,This class must choose 2 weapon fighting or archery as their weapon style at 2nd level.,video-games,Ranger,Bard,Cleric,Ranger,Fighter
87,Where is the first warp whistle located in the game Super Mario 3?,video-games,world 1-3,world 1-3,world 1 fortress,world 2-5,world 1-4
88,"In Mario Kart: Double Dash, what is the last thing you unlock by getting gold in the all cup tour in mirror mode?",video-games,Parade car,Parade car,Bullet car,Super Mario car,Ganondorf car
89,Which of the following characters can bounce off walls in the game Super Smash Brothers Melee?,video-games,Young Link,Luigi,Ness,Yoshi,Young Link
90,"In the game Luigis Mansion, which of these in not one of Marios lost items?",video-games,Marios belt,Marios shoe,Marios hat,Marios belt,Marios star
91,Who is the boss at the end of world 5 in the game Super Mario 2?,video-games,Clawgrip,Birdo,Tryclide,Bowser,Clawgrip
92,"In the game Super Mario 1, which level in world 7 is a water level?",video-games,7-2,7-1,7-2,7-4,7-3
93,"In Super Mario World, you start the game on which island?",video-games,Yoshis Island,Toads Island,Yoshis Island,Peachs Island,Bowsers Island
94,Which of these is not a playable character in the video game Mario Party 4?,video-games,Toad,Peach,Donkey Kong,Mario,Toad
95,"In the game Super Mario Sunshine, where is Bowser when you fight him at the end?",video-games,in a hot tub,in his castle,in a volcano,in a hot tub,in the windmill with Petey Piranha
96,What does Mario use for his power shot in the game Mario Power Tennis?,video-games,a hammer,a fiery racket,a hammer,a star,a fire fist
97,What is the God Pokemon called in Pokemon Pearl and Diamond?,video-games,Arceus,Giratina,Dialga,Cresselia,Arceus
98,The Pokemon creature Snorunt can evolve in which of the following?,video-games,Glalie  Froslass,Glalie  Snolie,Glalie  Froslass,Glalie  Galrunt,Glalie  Probopass
99,In what Pokemon version can Palkia be obtained?,video-games,Pearl,Pearl,Blue,Diamond,Red
100,What was the first ever ghost Pokemon to appear in a Pokemon episiode?,video-games,Gengar,Misdreavus,Gengar,Ghastly,Haunter
101,What Pokemon abducted Professor Spencer Haled in the movie Pokemon 3?,video-games,Unknown,Aipom,Gengar,Unknown,Entei
102,How many heroes are alive at the end of Startcraft: Brood War?,video-games,"6 - Artanis, Arcturus Mengsk, Jim Raynor, Zeratul, Samir Duran, Sarah Kerrigan","6 - Artanis, Arcturus Mengsk, Jim Raynor, Zeratul, Samir Duran, Sarah Kerrigan","7 - Aratnis, Arcturus Mengsk, Aldaris, Samir Duran, Sarah Kerrigan, Fenix, Zeratul","5 - Fenix, Arcturus Mengsk, Edmund Duke, Samir Duran, Sarah Kerrigan","7 - Aratnis, Arcturus Mengsk, Aldaris, Samir Duran, Sarah Kerrigan, Fenix, Jim Raynor"
103,Edmund Duke leads which group of elite fighters?,video-games,Alpha Squadron,Alpha Squadron,Beta Squadron,Delta Squadron,Omega Squadron
104,What type of unit is Zeratul?,video-games,Dark Templar,Dark Archon,High Templar,Dark Templar,Zealot
105,What are characteristics of the Archon unit?,video-games,10 hit points and 350 plasma shield,10 hit points and 250 plasma shield,20 hit points and 250 plasma shield,10 hit points and 350 plasma shield,20 hit points and 300 plasma shield
106,What unit says that in the game?,video-games,Dark Templar,Zealot,Scout,Dark Templar,Zealot
107,What is Alexei Stukovs rank?,video-games,Vice Admiral,General,Admiral,Vice Admiral,Corporal
109,Who leads the UED (United Earth Directorate forces)?,video-games,Gerard DuGalle,Samir Duran,Gerard DuGalle,Jim Raynor,Alexei Stukov
110,Who is Kerrigan talking to?,video-games,Fenix,Zeratul,Edmund Duke,Fenix,Artanis
111,"What is the name of the Italian plumber, thats also the mascot of Nintendo?",video-games,Mario,Luigi,Donkey Kong,Sonic,Mario
112,What does KOTOR stand for?,video-games,Knights of the Old Republic,Kings Of The Old Realm,Know One Tells Our Ruses,Kin Of Time Or Rain,Knights of the Old Republic
114,Which Age of Empires game expansion pack allows you to play as Native Americans?,video-games,The War Chiefs,The War Chiefs,The Tribal Warriors,The Lakota Warriors,Asian Dynasty
115,What is the name of Donkey Kongs tiny sidekick?,video-games,Diddy Kong,Tiny Kong,Donkey Kong Jr.,Diddy Kong,Mini Donkey Kong
116,Which GTA game features Tommy Vercetti?,video-games,Vice City,Grand Theft Auto III,San Andreas,"GTA 9,000",Vice City
117,Which game is Luis Sera featured in?,video-games,Resident Evil 4,Burnout Revenge,Dead Rising,Resident Evil 4,Midnight Mayhem
118,Which of these games is not based on a comic book?,video-games,Kingdom Hearts,The Darkness,Ghost Rider,Kingdom Hearts,X-Men The Game
119,Which of these songs is not in Guitar Hero 2?,video-games,We Will Rock You,Carry on My Wayward Son,Strutter,War Pigs,We Will Rock You
120,"In 2007, this game was named by IGN the 3rd best GameCube game of all time.",video-games,Super Smash Bros Melee,Pikmin,Super Smash Bros Melee,Resident Evil 4,Nicktoons Unite
121,"In the Legend of Zelda: Twilight Princess, what is the name of the first sword you get?",video-games,Wooden sword,Ordon sword,Four sword,Wooden sword,Master sword
122,"In The Legend of Zelda: Majoras Mask, how many days do you have until the moon crashes down on Temina?",video-games,three,one,nine,three,six
124,What is the name of the owner of lon-lon ranch in the Zelda series of games?,video-games,Talon,Zelda,Ingo,Minda,Talon
126,"In the Zelda series of games, what is the name of the tribe Gannondorf comes from?",video-games,Gerudo,Zora,Gerudo,Goron,Hylian
127,"Link, one of the main characters in the Zelda series of games, is a member of what race?",video-games,Hylians,Hylians,Kokiri,Zora,Goron
128,What is Links fathers name according to the Zelda series of games?,video-games,It has never been revealed.,It has never been revealed.,Gerald,Sam,Lance
129,In which Zelda game does Link turn into a bunny when he goes into the dark world without a pearl?,video-games,Link to the Past,Twilight Princess,Link to the Past,Ocarina of Time,Links Awakening
130,Which computer game is this soundtrack from?,video-games,Double Dragon,Double Dragon,Final Fight,Punisher,Street Fighter
131,What island do you start on in the online role-playing game RuneScape?,video-games,Tutorial Island,Beginners Island,Noobonia Island,Startagonia Island,Tutorial Island
132,What icon is used to start a low detail RuneScape game?,video-games,A warrior,A skeleton,An imp,A warrior,A barbarian
133,What is the name of the sword used to defeat the demon in the demon slayer quest of the online role-playing game RuneScape?,video-games,Silverlight,Brightheart,Demonbane,The Shining Light,Silverlight
134,"In the online role-playing game RuneScape, what kind of fruit is grown in Karajama?",video-games,Bananas,Apples,Bananas,Oranges,Pineapples
136,What is the highest weapon type available to nonmembers in the online role-playing game RuneScape?,video-games,Rune,Dragon,Granite,Rune,Adamantite
137,What is the name of the fantasy realm in which the RuneScape game is set?,video-games,Gielinor,None of these,Modor,Gomor,Gielinor
138,What does Traiborn call you in the online role-playing game RuneScape?,video-games,Thingummywut,Bungdungydingdong,Hugmugabugger,Thingummywut,Trindindlekindy
139,The action in the survival horror game Resident Evil 4 takes place in what country?,video-games,Spain,Germany,Spain,France,USA
140,Which of the guns listed is available before you beat the Resident Evil 4 game?,video-games,Killer7,Chicago typewriter,Killer7,Handcannon,Infinite Launcher
141,What is the merchants real name in the video game Resident Evil 4?,video-games,It is not mentioned,Jeremy,Krauser,It is not mentioned,Robert
142,"This creature from the game Resident Evil 4 was created by splicing genes from reptiles, insects and a human into one organism.",video-games,U3,None of the above,Verdugo,Garrador,U3
144,"Not including the rocket launcher, what is the second most powerful weapon in Resident Evil 4, according to its damage per shot?",video-games,Broken butterfly,Semi-auto rifle,Chicago typewriter,Killer7,Broken butterfly
145,Whose final speech ends in We shall win through no matter the cost!,video-games,Arcturus Mengsk,Alexei Stukov,Edmund Duke,Jim Raynor,Arcturus Mengsk
146,Who kills the Matriarch?,video-games,Zeratul,Zeratul,Sarah Kerrigan,Aldaris,Samir Duran
147,The words Doom to all who threaten the homeworld belong to which unit?,video-games,Zealot,Zealot,Dark Templar,Archon,Dark Archon
148,What were the words of Sarah Kerrigan to Jim Raynor when they first met?,video-games,You pig!,You pig!,"Hello, Jimmy","Hello, sheriff","Hello, marshal"
149,How many hit points does the Arclite Siege Tank have?,video-games,150,140,160,150,120
150,Listen to the dialogue and determine what name is missing at the end,video-games,Alexei,Raynor,Alexei,Gerard,Kerrigan
151,"What hero do these words belong to: I fear no death, I fear no enemy, our
strength is eternal",video-games,Fenix,Artanis,Zeratul,Fenix,Tessadar
152,What is the official version for the death of Alexei Stukov?,video-games,He dies during the final assault on planet Char,He commits suicide after his fleet is destroyed,"He is killed by Samir Duran, because he was a traitor",His spaceship is blown up by Prottos forces,He dies during the final assault on planet Char
153,"Which unit says You called down the Thunder, now reap the Whirlwind.",video-games,Ghost,Ghost,Medic,Marine,Firebat
154,This sound clip is from what classic Nintendo game?,video-games,Super Mario Bros,Star Fox,Donkey Kong,Super Mario Bros,The Legend of Zelda
155,This sound clip is from what NES game featuring a creature that could eat anything?,video-games,Kirbys Adventure,Metroid,Legend of Zelda,Super Mario Bros.,Kirbys Adventure
156,This is the theme to what Xbox video game?,video-games,Halo,Final Fantasy,Eldar Scrolls IV: Oblivion,Rainbow 6,Halo
157,This is the overworld theme to this NES game that introduced the save function because the game took so long to complete.,video-games,Legend of Zelda,Metroid,Donkey Kong,Legend of Zelda,Super Mario Bros.
158,This is the victory theme to what popular video game series?,video-games,Final Fantasy,Mortal Combat,Legend of Zelda,Final Fantasy,Super Mario
159,From which fighting game is this sound clip?,video-games,Super Smash Bros. Melee,Street Fighter II,Super Smash Bros. Melee,Teken 4,Soul Caliber II
160,This sound clip is from what Game Boy game that spawned an anime TV show and a collectible card game?,video-games,Pokemon,Final Fantasy,Pokemon,Magic the Gathering,Yu-Gi-Oh
161,This sound clip is from what PC RTS game?,video-games,Age of Empires II,Age of Empires II,StarCraft,Command and Conquer,Warcraft III
162,This sound clip is a theme in which of the following Legend of Zelda games?,video-games,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: A Link to the Past,The Legend of Zelda,The Legend of Zelda: The Wind Waker,The Legend of Zelda: Ocarina of Time
163,This sound clip is from what video game series?,video-games,Star Fox,Star Wars: Rouge Squadron,Final Fantasy,Star Fox,Halo
164,Which of these levels is on both Star Wars: Battlefront 1 and 2?,video-games,Kamino,Death Star,Kamino,Bespin,Mustafar
166,What is the default number of points to destroy a ship in a space battle on Star Wars: Battlefront  2?,video-games,180,500,200,10,180
167,Choose the correct order for player points bonuses in Star Wars: Battlefront from least to greatest.,video-games,"Endurance, Guardian, War Hero","Endurance, Guardian, War Hero","Guardian, Endurance, War Hero","War Hero, Guardian, Endurance","Marksman, Demolition, Technician"
169,"On the Star Wars: Battlefront game, which of these is among the non-player characters of the game?",video-games,Jawas,Mace Windu,Heavy weapons soldier,Luke Skywalker,Jawas
170,Who controls the AT-ATs on Hoth in Star Wars: Battlefront?,video-games,Empire,Empire,Rebels,Republic,CIS
171,Warchief Thrall is the leader of which clan?,video-games,Doomhammer,Warsong,Death Spear,Black Rock,Doomhammer
172,What type of creature is the DeathWing?,video-games,Black Dragon,Black Dragon,Red Dragon,Bone Dragon,Green Dragon
173,What unit or hero does the phrase Speak up fool belong to?,video-games,Prince Arthas as Dead Knight,Ghoul,Druid of the Claw,Prince Arthas as Dead Knight,Prince Arthas
174,Who kills Mannoroth?,video-games,Grom Hellscream,Thrall,Prince Arthas,Grom Hellscream,Illidan Stormrage
175,What unit or hero does this phrase belong to?,video-games,Dwarf Rifleman,muradin bronzebeard,Human Footman,Dwarf Rifleman,Throll Hunter
176,Which building makes the Druid of the Claw unit?,video-games,Ancient of  Lore,Ancient of  Lore,Ancient of  Wind,Ancient of Wisdom,Ancient of War
177,Who rides Nightsabre Panthers?,video-games,Huntresses,Wind Druids,Head Hunters,Huntresses,Archers
178,"What unit or hero does the phrase I can see clearly, now the rain has gone belong to?",video-games,Grom Hellscream,Thrall,Shadow Hunter,Grom Hellscream,Thief
180,On what other character is Ash Ketchum loosely based in the Pokemon video games?,video-games,Red,Blue,Yellow,Green,Red
182,What is the first season of Johto called in Pokemon series?,video-games,Johto Journeys,Johto,Johto Quest,Johto Journeys,Master Quest
184,Where can you find the gym leader Blaine in the video games Pokemon Gold and Silver and Pokemon Crystal?,video-games,Seaform Islands,Celadon City,Seaform Islands,Cinnabar Island,Fusia city
185,What is the very first car you drive in the Need for Speed: Most Wanted game?,video-games,BMW M3 GTR,Golf GTI,BMW M3 GTR,Corvette C6,Lamborghini Gallardo
187,"In the racing game Need for Speed: Most Wanted, what are the street names of  Blacklist numbers 1, 4, 7, and 15?",video-games,"Razor, JV, Kaze, Sonny","Razor, JV, Kaze, Sonny","Taz, Big Lou, Baron, Ronnie","Kaze, Big Lou, Bull, Razor","Webster, Vic, Izzy, Bull"
